Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745410593.6285,-0.4693,-0.2011,9.3278,-2.4656,-1.8779,0.3511
1745410593.7346,-0.6871,-0.2897,9.7923,-2.2519,-0.9466,0.3511
1745410593.8407,-0.6369,-0.4549,10.3022,-1.3053,-0.1985,0.4809
1745410593.9470,-0.7518,-0.3903,9.6223,-2.0458,-0.4504,0.2595
1745410594.0532,-0.5004,-0.2849,9.1866,-2.3435,-0.5038,0.2672
1745410594.1592,-0.7015,-0.2107,9.8402,-2.1908,-0.6107,0.3206
1745410594.2653,-0.5722,-0.4836,10.3238,-1.5191,-0.9313,0.4504
1745410594.3715,-0.7398,-0.2825,9.6893,-1.7405,-0.5878,0.6031
1745410594.4792,-0.6321,-0.1437,9.5481,-2.2901,-0.5191,0.2672
1745410594.5883,-0.8404,-0.3112,9.8665,-2.2977,-1.2443,0.4504
1745410594.6943,-0.5674,-0.4118,9.5529,-3.8855,-0.5115,0.1069
1745410594.8004,-0.8068,-0.2370,9.6510,-1.9084,-0.5191,0.5649
1745410594.9064,-0.4405,-0.2322,9.3781,-2.5344,-0.4580,0.4122
1745410595.0125,-0.5674,-0.1748,9.5960,-2.4962,-0.0840,1.8931
1745410595.1185,-0.6440,-0.3831,9.6199,-1.6107,-0.8168,0.2901
1745410595.2245,-0.7877,-0.4477,9.9192,-1.7634,-1.0840,0.3282
1745410595.3305,-0.4525,-0.2131,9.1578,-2.3359,-0.8626,0.0229
1745410595.4365,-0.7638,-0.1772,10.1155,-2.0611,-0.1603,0.0992
1745410595.5426,-0.7135,-0.3783,10.3884,-1.3511,-0.5573,0.1450
1745410595.6486,-0.7374,-0.4573,9.2536,-2.3664,-0.7634,-1.7939
1745410595.7545,-0.5722,-0.3304,9.4403,-2.0534,-0.8550,0.2672
1745410595.8605,-0.6273,-0.1844,9.6893,-2.1527,-0.4351,0.2443
1745410595.9665,-0.6536,-0.5938,10.1418,-1.8244,-0.9618,0.4580
1745410596.0726,-0.6153,-0.4429,9.5385,-1.6336,-0.5038,0.5344
1745410596.1797,-0.6129,-0.2729,9.3877,-3.8931,-0.7023,0.3664
1745410596.2860,-0.7183,-0.1963,9.8114,-3.8931,-0.7863,0.6031
1745410596.3920,-0.6584,-0.3496,9.8881,-2.0687,-0.4198,0.2519
1745410596.4981,-0.6823,-0.3400,9.7396,-1.6794,-0.5878,0.3282
1745410596.6051,-0.5818,-0.4381,9.5744,-1.6412,-0.5344,0.4504
1745410596.7117,-0.5100,-0.1197,9.5289,-2.3282,-0.5344,0.4122
1745410596.8178,-0.6273,-0.4477,9.7755,-2.2443,-0.6412,0.1298
1745410596.9251,-0.8691,-0.3855,9.5912,-1.8931,-0.9618,0.3053
1745410597.0310,-0.7470,-0.4142,9.7252,-1.7023,-0.9847,0.4198
1745410597.1371,-0.6752,-0.1389,9.8210,-2.2137,-0.6031,0.3664
1745410597.2432,-0.4741,-0.3376,9.8186,-2.1221,-0.5344,0.4275
1745410597.3492,-0.6177,-0.4477,9.9240,-1.8244,-0.7786,0.2061
1745410597.4552,-0.6680,-0.2945,9.4236,-3.9084,-1.0840,0.3664
1745410597.5612,-0.7446,-0.1844,9.5960,-2.1298,-0.7099,0.2290
1745410597.6672,-0.4693,-0.2083,9.4571,-2.6107,-0.2290,0.2290
1745410597.7733,-0.7302,-0.4334,10.4196,-1.2519,-1.0611,0.1374
1745410597.8793,-0.6536,-0.4166,9.8450,-1.8473,-0.9618,0.3206
1745410597.9853,-0.6871,-0.1676,9.3733,-2.3053,-0.7863,0.2748
1745410598.0914,-0.5698,-0.2705,9.9168,-2.1069,-0.2443,0.4962
1745410598.1977,-0.8499,-0.4429,10.2328,-1.5878,-1.0992,0.2748
1745410598.3040,-0.6369,-0.3376,9.8186,-2.1221,-0.5802,0.2443
1745410598.4130,-0.6704,-0.0120,9.3637,-2.5344,-0.6489,0.5267
1745410598.5205,-0.6177,-0.3759,10.0221,-2.0534,-0.5878,0.2214
1745410598.6265,-0.6632,-0.4381,9.9264,-1.4122,-0.8550,0.2519
1745410598.7325,-0.6273,-0.4214,9.5505,-2.2366,-0.8855,0.4504
1745410598.8416,-0.5938,-0.2298,10.0054,-2.0458,-0.4580,0.6718
1745410598.9476,-0.4741,-0.4142,9.7636,-2.0992,-0.8855,0.1145
1745410599.0537,-0.7302,-0.3424,9.6774,-1.6260,-0.7099,0.2748
1745410599.1597,-0.6752,-0.3615,9.8066,-1.4733,-0.6412,0.0305
1745410599.2658,-0.7230,-0.1245,9.5002,-2.3740,-0.4046,0.2290
1745410599.3718,-0.4621,-0.3711,9.9814,-3.9008,-0.5115,0.1374
1745410599.4778,-0.7254,-0.3615,9.8450,-1.5802,-0.1832,0.3130
1745410599.5838,-0.5818,-0.2825,9.3661,-2.1298,-1.0458,0.2977
1745410599.6898,-0.6943,-0.1748,9.5146,-2.4809,-0.1145,0.2443
1745410599.7969,-0.5195,-0.4573,9.1961,-2.5954,-0.6183,0.1908
1745410599.9030,-0.8236,-0.3711,9.9766,-1.4885,-1.2061,0.4122
1745410600.0089,-0.7230,-0.3879,9.7540,-1.7481,-0.7710,0.1145
1745410600.1150,-0.7494,-0.1867,9.4954,-2.5344,-0.7939,0.3130
1745410600.2210,-0.6201,-0.3160,9.8234,-1.9924,-0.4885,-1.8550
1745410600.3270,-0.6440,-0.4357,10.1347,-1.3282,-0.6336,0.6718
1745410600.4330,-0.6153,-0.3807,9.8354,-3.8626,-1.0076,0.4656
1745410600.5391,-0.6680,-0.2418,9.5050,-2.6412,-0.3053,0.0382
1745410600.6451,-0.5124,-0.3448,9.9048,-2.0534,-0.3435,0.2443
1745410600.7511,-0.7470,-0.4046,9.9934,-1.8321,-0.6489,0.3664
1745410600.8571,-0.6201,-0.2729,9.4332,-2.3359,-0.8702,0.2901
1745410600.9631,-0.5890,-0.1532,9.0908,-2.6794,-0.6718,0.2901
1745410601.0692,-0.5674,-0.4357,9.8378,-2.1069,-0.4580,0.3435
1745410601.1752,-0.8068,-0.3591,9.9120,-1.6641,-1.0916,0.1069
1745410601.2812,-0.6895,-0.3376,9.7947,-1.9160,-0.7252,0.3740
1745410601.3873,-0.6776,-0.2514,9.6750,-2.1221,-0.5802,0.3359
1745410601.4934,-0.6105,-0.3376,10.0197,-1.6565,-0.8473,0.2366
1745410601.5994,-0.6416,-0.3376,9.8402,-1.5954,-0.7634,0.2443
1745410601.7063,-0.5650,-0.2179,9.1195,-2.4580,-0.7176,0.1450
1745410601.8174,-0.6919,-0.2490,9.9335,-2.2519,-1.0000,0.3130
1745410601.9264,-0.6249,-0.3448,9.4906,-2.3817,-0.8397,0.4580
1745410602.0357,-0.6249,-0.2418,9.4092,-2.0840,-0.6336,0.3740
1745410602.1418,-0.5770,-0.1891,9.7588,-2.3359,1.9389,0.2672
1745410602.2477,-0.8308,-0.1987,10.0556,-2.3206,-1.2672,0.1298
1745410602.3537,-0.6416,-0.3448,9.3996,-2.1450,-0.7405,0.4504
1745410602.4597,-0.7590,-0.1532,9.2895,-2.1221,-0.7405,0.1069
1745410602.5657,-0.5076,-0.1963,9.4571,-2.7252,-0.3664,0.1603
1745410602.6717,-0.7063,-0.2753,9.7947,-2.3053,-1.1603,0.2595
1745410602.7777,-0.5267,-0.4190,9.0453,-2.4122,-0.9008,0.5420
1745410602.8837,-0.7638,-0.2729,9.5792,-1.9618,-0.9847,0.2214
1745410602.9897,-0.5195,-0.1437,9.2416,-2.9313,-0.6031,-1.7252
1745410603.0956,-0.7542,-0.1987,9.6510,-2.1908,-1.2443,0.4733
