Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745409317.6130,0.1628,0.2346,9.8114,-1.8702,-0.6947,0.2748
1745409317.7192,0.1413,0.1700,9.8234,-2.1069,-0.5191,0.0992
1745409317.8252,0.2969,0.2298,9.8474,-1.9542,-0.4122,0.2901
1745409317.9312,0.2035,0.2107,9.8282,-0.0153,-0.6183,0.2290
1745409318.0372,0.1508,0.2274,9.8785,-2.1221,-0.6870,0.1374
1745409318.1432,0.0263,0.2322,9.9575,-2.0382,-0.5420,0.1374
1745409318.2494,0.1053,0.1891,9.7995,-1.9771,-0.5191,0.4122
1745409318.3554,0.2729,0.2514,9.8474,-2.0153,-0.6489,0.3664
1745409318.4614,0.1987,0.1963,9.8617,-1.8702,-0.6336,0.3740
1745409318.5675,0.1772,0.2346,9.7420,-1.8321,-0.5115,0.2901
1745409318.6735,0.1077,0.2729,9.9311,-2.0916,-0.6336,0.1756
1745409318.7796,0.1772,0.1844,9.8809,-0.0076,-0.7863,0.1832
1745409318.8856,0.1245,0.1820,9.9407,-2.0382,-0.6260,0.0840
1745409318.9917,0.0862,0.1987,9.8521,-1.8473,-0.6489,0.2443
1745409319.0977,0.2442,0.2035,9.9718,-1.9771,-0.7252,0.1908
1745409319.2038,0.1077,0.2490,9.7181,-2.0229,-0.5267,0.6031
1745409319.3117,0.0263,0.2059,9.8402,-3.9008,-0.4580,0.1679
1745409319.4179,0.1700,0.1867,9.8354,-1.8550,-0.5344,0.2214
1745409319.5241,0.0814,0.2155,9.7899,-3.9008,-0.5878,0.1832
1745409319.6302,0.2442,0.1532,9.8928,-2.1069,-0.5725,0.3740
1745409319.7363,0.2682,0.1820,9.7875,-3.8931,-0.5038,0.2443
1745409319.8424,0.1580,0.1891,9.6654,-2.0153,-0.6412,0.3588
1745409319.9484,0.2083,0.2418,9.8402,-1.9695,-0.9008,0.3130
1745409320.0574,0.1820,0.2155,9.8354,-2.0076,-0.5954,0.3053
1745409320.1635,0.1532,0.2107,9.8641,-2.0763,-0.6260,0.2290
1745409320.2695,0.0335,0.2610,9.8210,-2.0687,-0.4809,0.3282
1745409320.3755,0.1484,0.2346,9.8713,-2.0992,-0.4885,0.4885
1745409320.4815,0.2011,0.1772,9.9862,-2.0229,-0.7176,0.2977
1745409320.5875,0.2083,0.2729,9.8474,-2.0458,-0.4809,0.3282
1745409320.6936,0.0814,0.2322,9.8282,-1.9160,-0.6947,0.2748
1745409320.7996,0.1197,0.2586,9.8162,-1.8702,-0.7023,0.2290
1745409320.9056,0.2969,0.2107,9.8857,-2.1145,-0.5878,0.2824
1745409321.0117,0.1556,0.2083,9.7827,-1.9618,-0.6031,0.1756
1745409321.1177,0.2442,0.2682,9.8569,-3.8626,-0.5649,0.3053
1745409321.2238,0.2227,0.2490,9.8617,-2.0916,-0.6870,0.2061
1745409321.3298,0.2274,0.2011,9.8474,-2.1679,-0.5038,0.3893
1745409321.4358,0.1413,0.1939,9.8497,-3.9008,-0.7557,0.3206
1745409321.5419,0.1149,0.2346,9.7995,-2.0153,-0.4885,0.1298
1745409321.6479,0.1628,0.2155,9.8497,-2.1374,-0.3893,0.4198
1745409321.7540,0.1844,0.2538,9.8521,-1.9389,-0.7710,0.1221
1745409321.8601,0.1437,0.1891,9.8330,-2.1069,-0.5878,0.0687
1745409321.9664,0.1556,0.2107,9.9120,-2.0000,-0.5267,0.4122
1745409322.0724,0.1221,0.1748,9.8881,-2.1679,-0.6183,0.4275
1745409322.1785,0.1293,0.2011,9.9359,-1.9389,-0.8397,0.3664
1745409322.2846,0.1365,0.2011,9.8306,-2.0305,-0.4885,0.2137
1745409322.3918,0.1245,0.2083,9.8474,-2.1298,-0.7252,0.4809
1745409322.4978,0.1844,0.2227,9.7923,-2.0458,-0.6412,0.3588
1745409322.6062,0.1820,0.2490,9.8976,-2.1450,-0.6031,0.1527
1745409322.7122,0.2274,0.2035,9.9024,-1.9771,-0.6107,0.2748
1745409322.8182,0.1221,0.2155,9.9072,-0.0153,-0.4580,0.3969
1745409322.9242,0.2442,0.1867,9.8402,-2.1374,-0.6641,0.5420
1745409323.0302,0.2083,0.2251,9.9048,-2.0763,-0.8626,0.5267
1745409323.1362,0.1604,0.2298,9.8210,-1.8550,-0.6183,0.2901
1745409323.2422,0.1484,0.1987,9.8904,-2.0305,-0.6870,0.4046
1745409323.3482,0.1532,0.2298,9.8809,-2.0840,-0.7939,0.3206
