Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745320795.8222,0.2466,0.2346,9.7540,-1.4351,-1.7252,-1.8321
1745320795.9302,0.2586,0.2658,9.6103,-1.7099,-0.6031,0.1756
1745320796.0363,0.0503,-0.0144,10.2807,-1.4046,-0.0534,0.3511
1745320796.1424,0.2131,0.2179,9.7396,-1.5115,-1.0000,0.2519
1745320796.2485,0.3184,0.1341,9.7013,-3.8855,-0.5496,0.3130
1745320796.3546,0.2849,0.1293,9.7037,-1.5954,-0.6718,0.0916
1745320796.4622,0.2753,0.2777,9.6486,-1.6947,-0.9542,0.0992
1745320796.5683,0.2658,0.1844,9.6726,-1.6947,-0.8397,0.1527
1745320796.6753,0.0239,0.1269,9.7659,-1.6794,-2.2595,1.9160
1745320796.7814,0.3783,0.1413,9.5840,-1.6565,-0.7405,0.1985
1745320796.8874,0.0192,0.1796,9.6726,-1.7176,-0.7863,0.3053
1745320796.9934,0.2179,0.0263,9.8019,-1.7252,-0.8626,0.2824
1745320797.0995,0.2658,0.2035,9.5337,-1.6336,-1.1069,0.2977
1745320797.2055,0.2203,0.1700,9.7516,-1.7634,-0.8931,0.1145
1745320797.3115,0.2203,0.1293,9.7324,-1.7023,-0.9847,0.2214
1745320797.4175,0.0120,0.1844,9.7037,-1.7023,-0.8244,0.3664
1745320797.5236,0.1700,0.1820,9.7731,-1.7176,-0.8244,0.0153
1745320797.6296,0.1772,0.1556,9.7731,-1.6870,-0.8473,0.1374
1745320797.7356,0.1844,0.1628,9.8019,-1.7023,-0.8702,0.2061
1745320797.8417,0.1365,0.1867,9.7923,-1.7481,-1.1832,1.8779
1745320797.9477,0.0455,0.2298,9.7085,-1.6718,-1.0840,0.2748
1745320798.0542,0.0096,0.2179,9.9910,-1.4809,-1.7405,0.3359
1745320798.1603,0.2945,0.2298,9.6127,-1.7252,-0.6947,1.9389
1745320798.2664,0.1628,0.1030,9.7875,-1.6183,-0.7328,0.0840
1745320798.3729,0.1963,0.2897,9.8809,-1.5954,-1.0229,0.3511
1745320798.4817,0.1341,0.2059,9.7636,-1.6183,-0.8092,0.2748
1745320798.5907,0.2969,0.1772,9.5960,-1.8473,-0.6870,0.0992
1745320798.6968,0.1724,0.1197,9.7995,-1.5725,-0.8015,0.2672
1745320798.8028,0.3543,0.2155,9.2823,-1.8321,-0.0534,0.2366
1745320798.9089,0.1820,0.2370,9.7540,-1.6336,-0.8931,0.2595
1745320799.0149,0.3160,0.0934,9.8330,-1.9084,-0.2595,-1.8931
1745320799.1209,0.1125,0.1197,9.7324,-1.7328,-1.0687,0.1908
1745320799.2269,0.2610,0.2251,9.6917,-1.6412,-0.9084,0.2748
