Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745409405.3436,0.0670,-0.0335,10.0533,-1.4275,-1.7176,0.3740
1745409405.4497,0.3448,0.0168,9.3948,-2.6412,0.4580,0.2748
1745409405.5557,0.0192,0.3567,10.2687,-2.0534,-1.1450,0.0992
1745409405.6617,0.1125,0.3352,9.2943,-2.4198,-0.0229,0.2748
1745409405.7678,0.0048,0.0168,10.3908,-1.4962,-1.5267,0.4046
1745409405.8738,0.3687,0.0215,10.0173,-2.4504,0.1298,0.4580
1745409405.9799,0.3974,0.3855,9.3422,-1.7557,0.1985,0.2290
1745409406.0859,-0.1724,0.0527,10.5489,-0.7710,-2.6718,0.2443
1745409406.1920,-0.1293,0.1987,10.6326,-2.0076,0.1527,0.1679
1745409406.2980,0.2873,0.4549,8.7508,-3.1679,0.7634,0.3664
1745409406.4041,0.2179,0.0766,9.5553,-1.4962,-3.8092,0.3817
1745409406.5102,0.2490,0.1341,9.9024,-2.0153,0.4427,0.2672
1745409406.6162,0.0215,0.2705,10.2975,-3.8244,-1.5878,0.2748
1745409406.7222,0.0958,0.4956,9.5672,-2.1374,0.6947,0.3435
1745409406.8283,-0.0742,0.0335,10.0820,-1.4275,-1.8092,0.5725
1745409406.9343,0.4310,-0.0383,10.6734,-1.9237,-0.1756,0.3664
1745409407.0405,0.4741,0.3759,8.6957,-3.3893,0.8168,0.4046
1745409407.1467,0.0215,0.3879,9.6678,-1.4580,-1.6183,0.4427
1745409407.2528,-0.1460,0.1341,10.3334,-1.8244,-1.0458,0.1908
1745409407.3589,0.1484,0.2562,9.7971,-3.0000,0.5115,0.3664
1745409407.4653,0.3687,0.2753,9.5960,-1.4275,-0.2519,0.4885
1745409407.5730,0.0168,0.0622,10.1107,-1.4046,-1.9847,0.5573
1745409407.6836,0.2370,0.0958,9.9718,-2.1527,0.4198,1.9466
1745409407.7897,0.0910,0.3328,9.5074,-2.5496,-1.6489,0.3511
1745409407.8957,0.0263,0.4788,9.4547,-2.2366,0.3053,0.4656
1745409408.0018,-0.1341,-0.1532,10.3382,-1.0153,-1.6183,0.6031
1745409408.1078,0.2993,0.0862,10.2663,-2.4580,-0.1832,0.2748
1745409408.2139,0.5243,0.2107,9.2081,-2.0992,1.2824,0.3740
1745409408.3199,0.0383,0.2753,10.0197,-1.1679,-3.0153,0.6336
1745409408.4259,-0.0599,0.1963,10.3238,-2.0153,-0.5038,0.1985
1745409408.5320,0.2849,0.4238,9.2368,-3.2748,0.9924,1.9313
1745409408.6380,0.3352,0.1389,9.7612,-1.3740,-1.5038,0.5802
1745409408.7440,0.3711,-0.0072,10.1993,-1.6870,0.0611,0.3969
1745409408.8500,0.0670,0.2011,10.2113,-2.1069,-2.0763,0.2595
1745409408.9561,0.0383,0.5914,9.4164,-2.4351,0.0840,0.1221
1745409409.0621,0.0239,0.0048,10.2783,-1.2748,-0.7557,0.3130
1745409409.1682,0.1844,0.1437,10.2041,-2.2061,-0.5038,0.5954
1745409409.2742,0.4381,0.3567,9.2895,-1.8015,-0.4885,0.3588
1745409409.3804,0.0000,0.0838,10.3406,-1.4962,-0.8473,0.4275
1745409409.4865,0.0024,0.3304,9.9048,-2.1985,1.8779,0.2977
1745409409.5926,0.0982,-0.0886,9.8234,-1.3893,-1.3588,0.2519
1745409409.6986,0.3926,0.2107,9.9383,-2.6183,0.6412,0.1145
1745409409.8047,0.1293,0.2705,9.6917,-1.7176,-0.2443,0.3969
1745409409.9120,-0.1437,-0.0287,10.4124,-1.7099,-1.5725,0.4656
1745409410.0210,0.2538,0.1867,9.8593,-2.3206,-1.0076,0.3435
1745409410.1270,0.1293,0.2179,9.8521,-1.1985,-3.7099,0.2672
1745409410.2331,-0.0479,0.3232,10.2687,-2.7481,0.5191,0.2290
1745409410.3391,0.4238,0.3424,9.1363,-2.5725,0.9160,0.3588
1745409410.4451,-0.0048,-0.0479,10.5201,-1.0382,-1.8092,0.4885
1745409410.5511,0.1700,0.3112,9.8545,-2.5344,-1.0916,0.3053
1745409410.6572,0.2466,0.3184,9.9623,-1.5496,-1.9008,0.2214
1745409410.7632,0.0670,0.0766,10.1897,-1.6641,0.1450,0.5344
1745409410.8692,0.2538,0.0646,9.8761,-2.5420,-0.4580,0.3740
1745409410.9753,0.3663,0.4429,9.6558,-1.2901,-0.9847,0.2061
1745409411.0813,-0.1365,0.2658,10.2256,-2.0611,1.8779,-0.2137
1745409411.1874,0.1125,0.4310,9.2057,-2.9771,0.5191,0.2214
1745409411.2934,0.1221,0.0144,9.9144,-1.7481,-2.4504,0.5649
1745409411.3994,0.2274,0.3232,9.7731,-2.5725,-0.1679,0.2137
1745409411.5054,0.2298,0.3783,9.7492,-2.0458,0.2443,0.0305
1745409411.6115,0.2346,0.0455,10.2328,-2.1985,1.1221,-1.9008
1745409411.7175,0.2322,0.1437,9.3972,-2.6412,0.1679,0.3435
1745409411.8236,-0.1604,0.0024,10.2639,-1.3511,-3.2214,0.4275
1745409411.9296,0.0335,0.3974,9.8761,-2.8931,-0.7023,0.4580
1745409412.0356,0.2059,0.2035,9.6917,-1.6412,-0.8397,0.2748
1745409412.1416,0.2658,0.2179,9.9551,-2.4580,0.7405,0.2366
1745409412.2507,0.0742,0.3879,9.4691,-2.0611,-1.3511,0.2061
