Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745409556.0846,0.0383,0.1006,11.4994,-4.7328,-3.8473,13.8702
1745409556.1909,1.4198,-0.2179,10.1897,-4.3511,0.3206,13.4122
1745409556.2997,0.1724,0.3807,9.5529,-4.3282,-0.9924,14.0992
1745409556.4059,-0.1365,0.2729,7.4172,-4.2061,0.2366,13.1450
1745409556.5148,0.7853,-0.4549,11.7316,-2.3588,-3.3740,13.0992
1745409556.6208,0.7805,0.1508,10.3693,-3.4275,-1.4198,13.2977
1745409556.7269,0.1987,-0.3783,11.3342,-2.0534,-1.6412,13.2366
1745409556.8346,0.4741,0.2849,10.3813,-1.2672,1.7710,15.5878
1745409556.9407,0.9050,-0.0862,11.2695,-3.0076,-1.6107,13.6183
1745409557.0467,0.5866,0.1053,8.5449,-2.8168,-3.4427,13.8473
1745409557.1528,1.4964,-0.0862,10.7428,-3.1679,0.2214,13.7557
1745409557.2588,1.9632,0.2658,10.7260,3.8168,-4.0534,14.0840
1745409557.3648,0.8691,0.5507,9.3781,-4.4962,4.0763,15.1756
1745409557.4709,0.3160,0.2155,10.3669,-1.8702,-4.3130,14.7786
1745409557.5769,0.0766,0.1317,8.9902,-0.3664,-4.2290,14.9313
1745409557.6829,1.0439,0.4070,11.0014,-0.7328,-5.8626,14.4885
1745409557.7890,1.3527,0.1724,9.5146,-1.7557,-0.0458,14.2366
1745409557.8950,0.7853,0.7901,9.6343,-3.8931,5.2137,15.4275
1745409558.0011,-0.0455,-0.0934,10.9535,-0.3206,-3.3282,14.7252
1745409558.1078,1.1875,0.0096,7.2257,-5.0840,2.6336,14.5344
1745409558.2138,0.5435,0.0958,10.4818,0.2824,-3.6336,14.8626
1745409558.3199,1.0080,-0.0144,11.2863,-2.2061,1.2366,13.8321
1745409558.4259,0.9960,0.0527,9.7420,-3.7252,-0.3359,11.8931
1745409558.5319,0.5674,0.9912,8.2624,-5.8626,-1.1374,14.5420
1745409558.6380,1.8028,-0.4477,9.3925,-9.8015,5.6718,13.7634
1745409558.7440,0.8404,0.1245,8.3175,0.0000,-9.4733,13.8168
1745409558.8501,1.4461,0.1604,11.2480,-0.9847,5.9008,9.8168
1745409558.9563,0.7374,0.3496,8.6311,-4.9237,1.6260,14.0992
1745409559.0623,-0.5100,-0.2179,10.8769,-3.2214,-3.9160,13.4351
1745409559.1685,0.8452,0.1628,7.8458,-2.5420,-1.4809,11.6183
1745409559.2766,0.7446,-0.8260,11.3677,-1.3435,-0.9847,11.8092
1745409559.3849,0.6776,0.6560,8.8753,-1.8931,-1.0687,13.4809
1745409559.4910,0.2849,-0.5531,11.8896,-2.9466,-0.9542,10.0229
1745409559.5970,0.3256,0.2466,7.2688,-3.2214,0.5267,10.2137
1745409559.7030,-0.7183,0.3687,9.7300,0.3206,-3.4809,10.8321
1745409559.8091,-0.2298,0.2658,8.8202,-0.7481,-2.2443,9.0611
1745409559.9151,2.1763,-0.1652,11.0971,-2.1450,-1.1908,8.8855
1745409560.0211,1.3455,0.4214,10.9176,-6.2137,2.9771,9.2748
1745409560.1272,1.0630,0.0718,8.2025,-5.4733,0.6870,8.9695
1745409560.2333,-0.0886,-0.1149,9.6247,-1.9847,-0.3588,9.1374
1745409560.3394,-0.1484,-0.1796,9.9072,-3.3969,-0.9466,8.5954
1745409560.4454,0.3304,-0.2969,9.8809,-0.5344,-5.9313,7.5267
1745409560.5515,0.8308,-0.8954,9.3805,-0.6107,-2.0992,7.0000
1745409560.6577,0.2083,-0.7781,10.3717,-0.4351,-1.1985,7.4504
1745409560.7639,-0.0503,-1.5419,10.9942,-0.8473,-1.3053,5.8702
1745409560.8701,1.2833,-0.7877,8.5377,1.0840,5.4198,5.7328
1745409560.9770,0.7973,-0.8619,11.6310,7.7023,8.2290,3.1908
1745409561.0860,-1.0965,-0.3017,7.8314,4.0992,8.0534,4.4962
1745409561.1920,-0.8045,0.2107,10.7524,6.6489,-6.1298,2.2061
1745409561.2981,0.0742,0.2705,11.5233,3.7863,-6.1527,2.3359
1745409561.4041,0.5459,0.1197,10.2328,2.0992,-3.9771,3.7634
1745409561.5102,0.8475,0.4956,7.9535,1.6718,0.6565,0.7710
1745409561.6162,0.2682,0.2777,9.4667,3.6718,-0.3359,1.2214
1745409561.7222,-0.1389,0.5555,10.3118,0.4733,-0.2214,1.4351
1745409561.8283,-0.0766,0.7326,11.1163,-1.3969,-0.7328,-0.2824
1745409561.9344,-0.1963,0.8021,9.1435,-5.3817,-0.3664,0.4733
1745409562.0404,-0.0599,-0.1604,10.0149,-1.5649,-4.0534,0.7481
1745409562.1465,-0.1891,-0.6991,10.6566,-3.8015,-0.8702,0.7023
1745409562.2557,0.1508,0.1269,9.0573,3.9008,-5.1298,1.3817
1745409562.3621,0.1939,0.3352,10.3477,-0.2214,-3.0916,0.4198
1745409562.4693,-0.1365,-0.2753,10.4962,-3.9084,-3.4733,0.1450
1745409562.5763,-0.7374,-0.0718,11.6813,-1.1679,-0.5191,1.5115
1745409562.6824,-0.1867,0.1125,11.6981,-0.9389,-1.2977,0.2595
1745409562.7885,0.3400,-0.0862,10.5010,-2.5649,1.2443,1.0382
1745409562.8947,0.3639,0.6321,8.4707,-3.8397,1.9466,0.1450
1745409563.0015,0.9768,0.7350,8.6718,-1.9084,-0.0687,0.6183
1745409563.1075,0.8045,1.4198,9.7276,-4.2824,3.8321,0.6183
1745409563.2136,1.0415,0.0718,9.5002,-1.0763,-0.8244,0.0840
1745409563.3196,-0.0359,0.1915,8.7269,-2.1679,2.2824,0.7481
1745409563.4257,-0.2442,-0.6225,11.7483,4.2824,-7.5878,1.2977
1745409563.5317,-0.1772,0.8284,8.8394,-3.0000,0.3206,0.6412
1745409563.6377,1.3791,0.9697,9.7779,-2.9771,4.8473,0.5649
1745409563.7438,0.2107,1.3336,8.8585,2.5344,-1.5496,1.3893
1745409563.8498,-0.6345,0.5722,10.0461,0.6336,-0.4580,1.0916
1745409563.9558,0.4334,1.8292,4.4005,-4.4580,1.0611,0.4656
1745409564.0619,1.3120,1.2450,11.6478,-5.2977,-3.8855,0.9084
1745409564.1679,-0.4621,0.5267,15.3827,-4.1679,-5.0305,0.6336
1745409564.2740,-0.6321,0.9266,11.6047,-17.3817,3.0916,-0.8015
1745409564.3801,-0.4956,-0.1867,8.8490,-13.4427,1.8015,0.6031
1745409564.4863,-0.6967,-0.3304,8.8633,-18.6947,0.5038,0.6031
1745409564.5925,-0.6608,-0.3759,13.6924,-4.4885,-11.0534,0.1603
1745409564.6989,0.3376,-2.6959,14.4921,-3.6947,-11.5802,-0.2901
1745409564.8055,1.4940,-0.1365,11.0229,-0.6947,4.3359,-0.0611
1745409564.9126,-0.8859,0.0407,10.0293,2.3130,0.4122,0.0992
1745409565.0186,-0.7638,0.5219,11.4132,-2.0534,-4.9389,-0.4580
1745409565.1247,1.3120,0.4262,8.7628,-1.7023,2.7710,-1.3588
1745409565.2307,-0.0192,0.8547,10.4866,-3.2443,-1.2214,-0.6183
1745409565.3367,0.9577,0.5866,8.8777,-4.9618,1.9084,-1.2977
1745409565.4428,0.7183,0.6225,9.7755,-2.4809,-6.3664,-0.7099
1745409565.5489,0.6871,0.5459,11.8321,0.9313,1.8702,-0.1603
1745409565.6549,-0.8930,0.8643,10.8098,3.7405,-4.4046,0.6718
1745409565.7609,0.5100,-1.0319,12.0213,0.1450,-0.3435,-0.6870
1745409565.8670,1.6664,2.0446,6.1268,-6.9847,1.5267,-0.3740
1745409565.9741,0.4022,-0.2777,10.2328,-0.2290,-4.8702,0.7405
1745409566.0835,0.5171,2.5402,10.7236,4.4504,3.2443,0.7099
1745409566.1917,-0.2251,-0.0239,10.3214,0.1603,3.4198,-0.2748
1745409566.2997,0.2155,-0.0072,10.1227,-8.8092,4.3664,0.6870
1745409566.4058,0.5219,1.0726,7.4029,-4.3130,-1.5725,0.1756
1745409566.5118,1.2067,0.1460,10.8864,-5.5191,-1.6412,-0.7099
